Name,Age,Overall,Potential,Special,BMI
 07 A. Censori,17.0,28.0,38.0,571.0,21.51
 07 A. Ugalde,25.0,65.0,73.0,1166.0,23.44
 07 Albérico,34.0,63.0,70.0,1006.0,22.98
 07 E. Howe,28.0,58.0,64.0,1030.0,23.09
 07 L. Martínez,27.0,73.0,78.0,848.0,24.14
 07 Nuno Mendes,28.0,71.0,70.0,1135.0,24.34
 07 Yeray,28.0,58.0,58.0,1098.0,24.04
 08 C. Ramelow,33.0,73.0,82.0,1578.0,22.98
 08 C. Reyna,33.0,76.0,80.0,1555.0,22.46
 08 Cafu,37.0,83.0,88.0,1641.0,24.09
 08 E. Chiesa,36.0,79.0,83.0,1539.0,22.46
 08 G. Mendieta,33.0,72.0,87.0,1516.0,22.79
 08 J. Stam,34.0,82.0,90.0,1458.0,24.34
 08 L. Ferrari,21.0,38.0,55.0,892.0,22.14
 08 L. Thuram,35.0,83.0,87.0,1540.0,22.69
 08 O. Kahn,38.0,87.0,90.0,1196.0,25.19
 08 O. Solskjær,34.0,75.0,83.0,1432.0,23.77
 08 P. Kluivert,30.0,81.0,81.0,1604.0,22.36
 08 Rui Costa,35.0,78.0,85.0,1591.0,22.45
 08 T. Brdaric,32.0,77.0,79.0,1403.0,22.11
 09 B. Ronhaar,23.0,87.0,90.0,1603.0,22.45
 09 B. Schneider,34.0,80.0,88.0,1602.0,25.62
 09 Bragança,25.0,66.0,71.0,1314.0,23.32
 09 D. Yorke,36.0,68.0,82.0,1348.0,22.75
 09 Figo,35.0,78.0,86.0,1591.0,22.75
 09 Fábio Paim,20.0,70.0,78.0,1269.0,21.49
 09 H. Xie,33.0,61.0,67.0,1196.0,23.21
 09 H. de Noteboom,32.0,87.0,90.0,1700.0,23.21
 09 J. Maatje,33.0,86.0,91.0,1582.0,21.23
 09 J. Moukoko,23.0,54.0,62.0,1122.0,23.68
 09 L. Hoedemaker,25.0,78.0,92.0,1534.0,22.72
 09 Lauren,31.0,73.0,82.0,1422.0,22.45
 09 Luis Henrique,29.0,68.0,71.0,1431.0,23.85
 09 Marco Paulo,35.0,61.0,68.0,1300.0,23.37
 09 P. Maldini,40.0,77.0,89.0,1471.0,24.43
 09 P. Nedved,35.0,80.0,88.0,1708.0,21.83
 09 Pedrinho,31.0,72.0,80.0,1442.0,22.06
 09 V. van den Berg,19.0,61.0,80.0,1151.0,23.77
 09 Vitor Hugo,22.0,57.0,62.0,1248.0,22.79
 09 W. Tao,30.0,52.0,57.0,1216.0,22.46
 09 Wang Peng,30.0,59.0,64.0,1148.0,21.23
 09 Xin Feng,30.0,56.0,62.0,1070.0,24.52
 10 A. Shevchenko,32.0,77.0,85.0,1505.0,21.53
 10 A. Stansfield,30.0,57.0,63.0,1202.0,23.68
 10 Chen Dong,31.0,58.0,61.0,903.0,22.32
 10 F. Cannavaro,35.0,82.0,89.0,1481.0,24.09
 10 H. Larsson,37.0,76.0,83.0,1574.0,23.41
 10 J. Krzynówek,33.0,72.0,79.0,1548.0,23.09
 10 J. Lehmann,39.0,79.0,87.0,1224.0,23.97
 10 J. Manzur,28.0,72.0,83.0,1236.0,23.49
 10 J. Piroska,22.0,56.0,66.0,1142.0,25.62
 10 Koeman,21.0,52.0,68.0,1089.0,23.98
 10 L. Muñoz,25.0,60.0,63.0,1027.0,22.72
 10 M. Bordon,33.0,82.0,84.0,1588.0,25.19
 10 M. Garnica,22.0,55.0,66.0,1125.0,24.55
 10 M. Heinz,31.0,64.0,82.0,1321.0,23.21
 10 Morientes,33.0,78.0,84.0,1506.0,22.69
 10 O. Husyev,26.0,78.0,87.0,1514.0,23.09
 10 R. Makaay,34.0,72.0,88.0,1413.0,20.95
 10 Rodrigão,31.0,70.0,81.0,1352.0,23.62
 10 Sun Jihai,31.0,64.0,75.0,1344.0,20.6
 10 Sylvinho,35.0,77.0,84.0,1610.0,22.12
 10 Wang Dong,27.0,65.0,73.0,1302.0,20.91
 10 Wang Xiao,30.0,63.0,65.0,1148.0,22.13
 10 Xiao Zhanbo,33.0,63.0,67.0,1399.0,22.75
 10 Zhang Yaokun,28.0,62.0,70.0,1287.0,23.62
 10 Zhang shuai,27.0,56.0,58.0,1026.0,22.13
 10 Zong Lei,27.0,66.0,71.0,950.0,22.93
 11 A. Karimi,31.0,73.0,83.0,1816.0,24.67
 11 A. Manzoni,23.0,62.0,76.0,1677.0,20.24
 11 Anderson Martins,22.0,71.0,75.0,1850.0,23.62
 11 C. López,35.0,68.0,84.0,1796.0,23.41
 11 C. Makélelé,37.0,74.0,81.0,1740.0,22.46
 11 Dong Fangzhuo,25.0,62.0,69.0,1619.0,20.66
 11 Dédé,32.0,75.0,82.0,2087.0,22.14
 11 E. van der Sar,39.0,83.0,87.0,1272.0,22.42
 11 F. Ljungberg,33.0,74.0,83.0,1887.0,23.77
 11 G. Coupet,37.0,75.0,83.0,1149.0,24.29
 11 G. Neville,35.0,76.0,82.0,1774.0,24.67
 11 Grafite,31.0,80.0,84.0,1937.0,24.63
 11 Hudson,23.0,62.0,79.0,1555.0,23.13
 11 I. Žofčák,27.0,70.0,73.0,1847.0,23.77
 11 J. Beltrán,33.0,68.0,75.0,1616.0,25.76
 11 J. Dudek,37.0,72.0,82.0,1170.0,22.08
